                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2792,                 5.2011,                 1.3025,                0.00012,                 0.0049,                0.00028,                  7e-05,                 1.5256,                 4.5907,                0.93097,             0.00014994,             0.00014994,             0.00014994
                      1,                 1.6688,                 2.9991,                 0.9112,                0.02597,                0.40366,                0.31499,                0.18954,                 1.3916,                 3.5839,                0.87463,             0.00030672,             0.00030672,             0.00030672
                      2,                 1.4725,                 1.6897,                0.90957,                0.03272,                0.42841,                0.36847,                 0.2274,                 1.2955,                 3.3052,                0.88987,             0.00046318,             0.00046318,             0.00046318
                      3,                 1.4291,                 1.4155,                0.89943,                0.99426,                0.27463,                0.41638,                0.24152,                 1.3913,                 2.4877,                0.88041,             0.00061934,             0.00061934,             0.00061934
                      4,                 1.3678,                 1.2788,                0.89458,                0.98479,                0.34232,                 0.5274,                0.33129,                 1.2817,                 1.9335,                0.86765,             0.00071117,             0.00071117,             0.00071117
                      5,                 1.3471,                 1.2021,                0.88775,                0.83368,                0.38849,                0.72718,                0.38865,                 1.3508,                 1.6984,                0.88647,             0.00071117,             0.00071117,             0.00071117
                      6,                 1.3276,                 1.1275,                0.89006,                0.92434,                0.54347,                0.67614,                0.40527,                 1.2848,                 1.4086,                  0.875,             0.00071047,             0.00071047,             0.00071047
                      7,                  1.292,                 1.0543,                0.88177,                0.73067,                0.71136,                 0.7711,                0.43987,                   1.32,                 1.0336,                0.87818,             0.00070976,             0.00070976,             0.00070976
                      8,                 1.3025,                 0.9975,                0.88626,                0.79926,                0.83039,                0.78493,                0.49883,                 1.1745,                0.90911,                0.86224,             0.00070905,             0.00070905,             0.00070905
                      9,                 1.2785,                0.95737,                0.89183,                0.87805,                 0.8406,                0.79144,                0.50976,                  1.137,                0.80751,                 0.8539,             0.00070835,             0.00070835,             0.00070835
                     10,                  1.289,                0.92343,                0.88493,                 0.9797,                0.72558,                0.74965,                0.52179,                 1.1584,                0.74459,                0.86172,             0.00070764,             0.00070764,             0.00070764
                     11,                 1.2701,                0.88022,                0.87704,                0.92968,                0.81334,                0.87734,                0.54841,                 1.1504,                0.69807,                0.85805,             0.00070693,             0.00070693,             0.00070693
                     12,                 1.2457,                0.85672,                0.88299,                0.94214,                0.82984,                0.88053,                0.57136,                 1.1219,                0.67384,                0.86158,             0.00070622,             0.00070622,             0.00070622
                     13,                 1.2422,                0.84487,                0.87695,                0.87728,                0.86086,                0.82254,                0.50198,                 1.2683,                0.72572,                 0.8583,             0.00070552,             0.00070552,             0.00070552
                     14,                 1.2451,                0.83179,                0.87122,                0.88596,                0.86364,                0.83601,                0.51177,                 1.2764,                0.67818,                0.86706,             0.00070481,             0.00070481,             0.00070481
                     15,                 1.2444,                0.82256,                0.87744,                0.88448,                0.83757,                0.81529,                0.53501,                 1.2369,                0.67586,                0.86469,              0.0007041,              0.0007041,              0.0007041
                     16,                 1.2635,                0.79931,                0.87944,                0.96231,                0.83635,                 0.8806,                0.61495,                 1.2176,                0.64525,                0.86563,              0.0007034,              0.0007034,              0.0007034
                     17,                 1.2569,                0.78268,                0.87833,                0.97529,                0.83673,                0.88321,                0.57595,                 1.2467,                 0.6361,                0.86925,             0.00070269,             0.00070269,             0.00070269
                     18,                 1.2459,                0.75956,                 0.8755,                0.96399,                0.83343,                0.90251,                0.62912,                 1.1307,                0.59082,                0.85445,             0.00070198,             0.00070198,             0.00070198
                     19,                 1.2288,                0.75185,                0.87042,                0.96211,                0.82295,                0.87892,                0.56373,                 1.1267,                0.58553,                  0.863,             0.00070128,             0.00070128,             0.00070128
                     20,                 1.2603,                0.73859,                0.87544,                  0.893,                0.85553,                0.83151,                 0.5574,                 1.1709,                0.59626,                0.85927,             0.00070057,             0.00070057,             0.00070057
                     21,                 1.2391,                0.73943,                0.88034,                0.91807,                0.84165,                0.87431,                0.55917,                 1.1549,                0.59842,                0.85917,             0.00069986,             0.00069986,             0.00069986
                     22,                 1.2427,                0.71918,                0.87485,                0.96405,                0.83415,                0.88082,                0.59584,                 1.1137,                0.60014,                0.85123,             0.00069916,             0.00069916,             0.00069916
                     23,                 1.2124,                0.71628,                0.87132,                0.96074,                0.84658,                0.89786,                0.65094,                 1.0944,                0.57619,                0.85061,             0.00069845,             0.00069845,             0.00069845
                     24,                 1.2029,                0.69279,                0.87339,                0.95387,                0.84862,                0.91202,                0.58493,                 1.2265,                0.58536,                0.86377,             0.00069774,             0.00069774,             0.00069774
                     25,                 1.2106,                0.69532,                0.86831,                    0.9,                0.86155,                0.84133,                 0.5786,                 1.1458,                0.58464,                0.84586,             0.00069704,             0.00069704,             0.00069704
                     26,                 1.1921,                0.67109,                0.85989,                0.94129,                0.84695,                0.89764,                  0.641,                 1.1967,                0.59574,                0.85361,             0.00069633,             0.00069633,             0.00069633
                     27,                 1.1908,                0.68467,                0.86828,                0.98756,                0.72367,                0.78601,                0.53799,                 1.1129,                0.57808,                0.84997,             0.00069562,             0.00069562,             0.00069562
                     28,                 1.2033,                0.68296,                0.86491,                0.95703,                0.85553,                0.90729,                0.56254,                 1.2229,                0.57214,                0.85622,             0.00069491,             0.00069491,             0.00069491
                     29,                 1.1928,                0.66492,                0.87142,                0.97953,                 0.8382,                0.88349,                0.58466,                 1.1417,                0.58115,                0.85254,             0.00069421,             0.00069421,             0.00069421
                     30,                  1.179,                0.64788,                0.87068,                0.96612,                0.83906,                0.91022,                0.63482,                 1.1378,                0.56288,                0.85319,              0.0006935,              0.0006935,              0.0006935
                     31,                 1.1751,                0.63588,                0.86751,                0.98204,                0.83948,                0.89889,                0.65249,                 1.1244,                0.55049,                0.85558,             0.00069279,             0.00069279,             0.00069279
                     32,                  1.185,                0.63763,                0.86543,                0.96664,                0.84898,                0.89977,                0.63763,                 1.0945,                0.55555,                0.84605,             0.00069209,             0.00069209,             0.00069209
                     33,                 1.1733,                0.63924,                0.86371,                0.94313,                 0.8544,                 0.9054,                0.58529,                 1.2732,                0.61791,                0.86844,             0.00069138,             0.00069138,             0.00069138
                     34,                 1.2005,                0.63593,                0.87115,                0.96461,                0.72961,                0.77467,                0.53857,                 1.1534,                0.57604,                0.84683,             0.00069067,             0.00069067,             0.00069067
                     35,                 1.1853,                0.63102,                0.86524,                0.97746,                0.83761,                0.91902,                0.65023,                 1.1344,                0.58096,                0.85361,             0.00068997,             0.00068997,             0.00068997
                     36,                 1.1878,                 0.6318,                0.87556,                0.98482,                0.72335,                0.78047,                0.54605,                  1.147,                0.56105,                0.85152,             0.00068926,             0.00068926,             0.00068926
                     37,                 1.1937,                0.62726,                0.86511,                0.96197,                0.86024,                 0.9267,                0.65617,                 1.0949,                0.53701,                0.84732,             0.00068855,             0.00068855,             0.00068855
                     38,                 1.1699,                0.60981,                0.86707,                0.96133,                0.86242,                0.90088,                0.61331,                  1.175,                 0.5698,                0.85293,             0.00068785,             0.00068785,             0.00068785
                     39,                 1.1752,                0.61388,                  0.863,                0.93566,                0.85476,                0.92319,                0.63224,                 1.1299,                0.55444,                0.84495,             0.00068714,             0.00068714,             0.00068714
                     40,                 1.1535,                0.59576,                0.86446,                0.95603,                0.84083,                0.89128,                0.61067,                 1.1063,                0.54566,                0.84815,             0.00068643,             0.00068643,             0.00068643
                     41,                 1.1642,                0.61168,                0.86836,                 0.9741,                0.84063,                0.94898,                0.65624,                 1.1228,                0.55548,                0.85292,             0.00068573,             0.00068573,             0.00068573
                     42,                 1.1808,                0.61213,                0.86718,                0.83605,                0.94229,                0.94775,                0.64427,                 1.0817,                0.53675,                0.84374,             0.00068502,             0.00068502,             0.00068502
                     43,                 1.1625,                0.61426,                0.85924,                0.97425,                0.85372,                0.92825,                0.65788,                 1.0905,                0.52715,                0.83266,             0.00068431,             0.00068431,             0.00068431
                     44,                 1.1319,                 0.5889,                0.86483,                0.97254,                0.86158,                0.94835,                0.65247,                 1.1393,                0.54817,                  0.848,             0.00068361,             0.00068361,             0.00068361
                     45,                 1.1936,                0.60205,                0.86106,                0.95367,                0.84673,                0.90121,                0.59676,                 1.1574,                 0.5462,                0.84667,              0.0006829,              0.0006829,              0.0006829
                     46,                 1.1653,                0.59253,                 0.8659,                0.95921,                0.83345,                0.94393,                0.66151,                 1.1076,                0.54043,                0.84634,             0.00068219,             0.00068219,             0.00068219
                     47,                 1.1785,                0.59209,                0.86982,                0.96479,                0.84165,                0.94655,                0.62085,                 1.1841,                0.55638,                0.85216,             0.00068148,             0.00068148,             0.00068148
                     48,                 1.1661,                0.57953,                0.86482,                0.97064,                0.84641,                 0.9261,                0.63176,                 1.1198,                 0.5473,                 0.8435,             0.00068078,             0.00068078,             0.00068078
